Stripe,Wbx Room Name,Room ID
Other,HTTS Sydney Case Alert,Y2lzY29zcGFyazovL3VzL1JPT00vYzk5MjY2YjAtM2U2Ny0xMWVhLWI3YWYtZjk3ZDg1ODAzNzE0
RSS,HTTS Sydney Case Alert,Y2lzY29zcGFyazovL3VzL1JPT00vYzk5MjY2YjAtM2U2Ny0xMWVhLWI3YWYtZjk3ZDg1ODAzNzE0
SourcedSupport,HTTS Sydney Case Alert,Y2lzY29zcGFyazovL3VzL1JPT00vYzk5MjY2YjAtM2U2Ny0xMWVhLWI3YWYtZjk3ZDg1ODAzNzE0
Collab,HTTS Sydney Collab Case Alert,Y2lzY29zcGFyazovL3VzL1JPT00vZGMzNzcxZTAtNTM3ZC0xMWVhLWI2ZWQtZDU0Mzg0ZmI3YjIz
DC,HTTS Sydney DC Case Alert,Y2lzY29zcGFyazovL3VzL1JPT00vYjdhNzNlZjAtNTM3ZC0xMWVhLTlhMDEtOWY1Y2QzYTc4NDFj
ENT,HTTS Sydney ENT Case Alert,Y2lzY29zcGFyazovL3VzL1JPT00vZTY3ZDlhMzAtNTM3ZC0xMWVhLThiOTYtMTc1YWMwYTdiNzE5
SP,HTTS Sydney SP Case Alert,Y2lzY29zcGFyazovL3VzL1JPT00vZjYzYTYxNjAtNTM3ZC0xMWVhLWFhNDctYTlmM2I3MDJkMjRm
Security,HTTS Sydney Security Case Alert,Y2lzY29zcGFyazovL3VzL1JPT00vMjMwNjQ2YTAtNTM3ZS0xMWVhLTg5MWYtNDU2ZWE5MzM1ZTMz
NA,HTTS Bot Debugging Room,Y2lzY29zcGFyazovL3VzL1JPT00vMzZkZjc4YTAtMWJiZi0xMWVhLTk5N2UtZWRkY2I3NjAwNDk4
NA,HTTS tools and dashboard project,Y2lzY29zcGFyazovL3VzL1JPT00vMWUxM2ZkNDAtMTcxNS0xMWVhLWI5NzAtY2RiZjYxNzcwM2Fk
